#Mod_Priority,#Mod_Name,#Mod_Version
"0000","Sleep_Timelapse.7","d2023.9.15.0"
"0001","Food_drug_and_drinks_animations_v0.9b","0.9.0.0"
"0002","FDDA enhanced animations - Food and Drinks","1.2.0.0N"
"0003","Groks Body Health System Redux","2.0.2.0"
"0004","T.H.A.P._Rework_2.3","d2024.11.7.0"
"0005","Body Health System Realistic Overhaul","0.87.0.0Beta"
"0006","TRADER OVERHAUL COMPLETE","d2024.6.3.0"
"0007","ToggleScope.2022.08.19","d2023.10.12.0"
"0008","Glowsticks","6.9.0.0"
"0009","Full_upgrades_DLTX","d2021.7.17.0"
"0010","Full upgrades Patch No Tookit Requirement For Repairs & Upgrades",""
"0011","Expanded Armor Pack_DLTX",""
"0012","Expanded Armor Pack_DLTX Optional - Legend Variant",""
"0013","Expanded Armor Pack_DLTX Optional - Rogue variants Variant 2 (No Exohelm+Rig)",""
"0014","Expanded Armor Pack_DLTX Full_Upgrades_Patch",""
"0015","Apocalyptic_Blowout_Overhaul_4.0.1","d2024.10.20.0"
"0016","Keep_Crafting_Window_Open.13","d2024.3.21.0"
"0017","1.2.0_Groks_Craft_and_Repair_Overhaul","d2022.12.15.0"
"0018","Fillable_canteens_DLTX","d2024.5.13.0"
"0019","Fillable_canteens_DLTX_Alt_Icon_Patch","d2021.8.30.0"
"0020","lootboxes.16","d2024.12.4.0"
"0021","More-Melee-Features_v0.8","d2023.11.14.0"
"0022","QuickActionWheel-v2.0.5","d2024.6.13.0"
"0023","attachments.13","11.0.0.0/11/2023"
"0024","Perk_Based_Artefacts","d2024.5.15.0"
"0025","Fixed Vanilla Models and Textures","d2024.5.18.0"
"0026","iTheon_PDA_Taskboard.12","d2024.6.2.0"
"0027","Anomaly-Mod-Configuration-Menu1.6.5.7","d2023.6.29.0"
"0028","Enhanced Graphical User Interface",".0.6.2"
"0029","HeatVision_v1.3","d2024.5.14.0"
"0030","Boomsticks_and_Sharpsticks_02-Oct-2022","d2024.11.26.0"
"0031","Anomaly Magazines Redux","1.0.0.0"
"0032","Hideout Furniture","2.3.2.0"
"0033","[demonized] Ledge Climbing Mantling","1.0.0.0"
"0034","DLTX_MiniMod_Pack.57 STORYLINES","d2024.5.13.0"
"0035","Levels_0.53","d2024.5.13.0"
"0036","Exile Haven by zorius","0.4.0.0"
"0037","ATO 3","3.0.0.0"
"0038","HarukaSkillSystem-v1.5.0","d2024.12.14.0"
"0039","HIP_v2.6","d2024.5.19.0"
"0040","Safer Hip","d2025.2.27.0"
"0041","Re-animation","d2024.11.16.0"
"0042","Camera_Reanimation_Project_-_I.N.E.R.T.I.A._V1.2","7.0.0.0/4/2023"
"0043","JSRS_Port_5.2","d2024.3.27.0"
"0044","Poltergeist_Psy_Aura_DLTX",""
"0045","[DuxFortis] Dux Patches - Warfare",""
"0046","[hawkieowl] Warfare Mechanic Fix",""
"0047","[Maid] Warfare Important NPCs",""
"0048","NewLevelsWarfare.1","d2024.5.25.0"
"0049","[Vintar0] Talk to Everyone",""
"0050","HG_Companion.21","d2023.9.29.0"
"0051","zone_customization_project_1.5e","d2023.9.23.0"
"0052","Dialogue_Expanded_v4.1","d2022.12.13.0"
"0053","Shorter Crafting Camera Animations_DLTX",""
"0054","Focused_Zoom_v0.41","7.0.0.0/2/2023"
"0055","Character revisions_DLTX","d2021.7.18.0"
"0056","Realistic Food Rebalance for 1.5.2_DLTX",""
"0057","Detector Binoculars_DLTX",""
"0058","dynamic_discounts_0.34","d2023.9.15.0"
"0059","Helmet_Parts_BaS_DLTX","d2021.7.19.0"
"0060","Helmet_Parts_Vanilla_DLTX","d2021.7.19.0"
"0061","wristwatchkey","d2023.9.15.0"
"0062","Crafting_Parts_With_Returns","d2023.6.30.0"
"0063","Cheaper Ammo_DLTX",""
"0064","Dead_Stalker_PDA_Rarity_Models_DLTX",""
"0065","Dead_Stalker_PDAs_have_more_parts_DLTX",""
"0066","Repair Kits Revision_DLTX",""
"0067","Quest Items Droppable_DLTX",""
"0068","Realistic_Blood_HQ_REDONE_1.1","d2023.8.28.0"
"0069","Artefacts Revision_DLTX",""
"0070","BaseSkillsPack_v1.1.4","d2023.7.2.0"
"0071","New Food For Anomaly_DLTX",""
"0072","Agressor_1.0.2.Weather","d2024.5.17.0"
"0073","Stalker_Tracking_System_v1.2","d2023.7.2.0"
"0074","The_G36_Pack NPC Files_DLTX",""
"0075","1.1.1_Groks_Better_Sound_for_Anomaly_1.5.1","d2022.12.21.0"
"0076","[TheVoidPancake] General Fire Mode Script With BaS Sound",""
"0077","EFT_Grenade_checkout_sound_DLTX",""
"0078","[Vintar0] Separated Helmets And Outfits for 1.5.2",""
"0079","Radiation_not_decreasing_DLTX","d2021.7.22.0"
"0080","Less_Radiation_Damage_DLTX","d2021.7.22.0"
"0081","Medkits Radiation Revision_DLTX",""
"0082","Health Passive Restore_DLTX",""
"0083","Cooking Revision_DLTX",""
"0084","More_dynamic_tasks_DLTX","d2021.7.21.0"
"0085","S.k.I.n-v220210","d2023.9.21.0"
"0086","arszis_campfire_roasting_1_5_1","d2023.9.22.0"
"0087","Disassembly_Animation_Freedom","d2023.8.25.0"
"0088","DLTX_Headlamp_35m_65degrees","d2023.8.25.0"
"0089","DefuseAndPickupYourPlantedExplosivesV2","d2023.7.11.0"
"0090","Lower_Weapon_Sprint_Optimized-v1.3","d2023.9.9.0"
"0091","InspectWeapon","d2023.9.9.0"
"0092","MGS_2.0.3","d2023.9.15.0"
"0093","Dynamic_NPC_Armor_Visuals","d2023.9.18.0"
"0094","npc_use_first_aid_kits_and_bandages_faster","d2023.10.4.0"
"0095","npc_fleeing_0.32","d2023.10.4.0"
